site,component_type,html_tag,text_content,font_size,foreground_color,background_color,bounding_box
BBC,button,a,Arts,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 712.90625, ""y"": 359, ""width"": 44.40625, ""height"": 42}"
BBC,button,a,Travel,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 757.3125, ""y"": 359, ""width"": 56.296875, ""height"": 42}"
BBC,button,a,Earth,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 813.609375, ""y"": 359, ""width"": 52.171875, ""height"": 42}"
BBC,button,a,Audio,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 865.78125, ""y"": 359, ""width"": 54.84375, ""height"": 42}"
BBC,button,a,Video,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 920.625, ""y"": 359, ""width"": 54.21875, ""height"": 42}"
BBC,button,a,Live,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 974.84375, ""y"": 359, ""width"": 42.875, ""height"": 42}"
BBC,card,article,"LIVE Iran war 'not a matter for Nato', Germany's Merz says as Starmer says UK won't be drawn into wider conflict It comes after Donald Trump said it would be ""very bad for the future of Nato"" if allies don't help secure the Strait of Hormuz, a key oil shipping route. Israel says 'limited' ground operations under way in Lebanon Iran hits key UAE oil port and Dubai airport What Iranians are being told about the war Iran taking steps to prevent anti-regime protests, Tehran residents tell BBC Wary allies show there's no quick fix to Trump's Iran crisis European leaders are hesitant to help Trump secure the Strait of Hormuz, but they know inaction on the Iran war is not really an option. 11 mins ago World Six reasons why it was the best Oscars in years In recent times, the Academy Awards have become stale. But this year, they felt fresher and more exciting than they have for a long while. Here's why. 6 hrs ago Culture Meta and TikTok let harmful content rise after evidence outrage drove engagement, say whistleblowers Companies allowed more harmful content on user’s feeds, knowing their algorithms ran on outrage, BBC hears. 12 hrs ago Technology Trump's White House chief of staff Susie Wiles diagnosed with breast cancer Wiles will continue to work ""virtually full time at the White House"" while undergoing treatment, the US president said. 28 mins ago World Is this product 'human-made'? The race to establish an AI-free logo The backlash to the growing use of the tech has led to an explosion in attempts to come up with 'AI-Free' logo that could be used globally. 17 hrs ago Technology From tornadoes to blizzards, severe weather batters parts of the US Millions are under weather warnings as mix of snow, thunderstorms, and high winds hit parts of the eastern US, while the west coast faces extreme heat. 24 mins ago US & Canada OSCARS 2026 Oscars red carpet: Stars and fashion in pictures Hollywood's biggest stars turn on the style as they walk the red carpet for the glittering ceremony. Oscars 2026: Winners list in full Find out which films and stars have won the famous golden statuettes at the ceremony in Los Angeles. 'It's a tie, I'm not joking' - unusual Oscars moment sees two films share award The rare but not unprecedented tie saw The Singers and Two People Exchanging Saliva both win for best short live action film. Historic firsts, risqué jokes, and a tie: Watch highlights from 2026 Oscars One Battle After Another dominated the night with six awards, while Sinners and Frankenstein weren't far behind. Key Oscars moments as snubbed Chalamet becomes butt of jokes Here's what happened inside the winners room and other insights from the biggest night in Hollywood. ONLY FROM THE BBC Going to Europe this summer? Expect long queues As the continent completes its rollout of a new biometric entry system for non-EU residents, many destinations are bracing for long airport queues. Here's how to avoid the worst of it. Are we close to a hay fever cure? Is it possible to train the body to resist seasonal allergies? That’s the hope promised by a new line of immunotherapy reviving an old treatment. RECOMMENDED AUDIO The Global Story Was the air strike on an Iranian school a war crime? Save 28 mins Global News Podcast The big winners at the Oscars Save 32 mins Witness History The nuclear mango deal Save 11 mins The Documentary Podcast Mariam Issoufou: Designing a museum Save 27 mins The Interview Tracey Emin, artist: I’ve been given a second chance Save 23 mins Big Boss Interview #31 Mountain Warehouse CEO: Middle East Conflict Impacts UK Retail Save 36 mins Business Daily China’s new economic reality Save 17 mins The Climate Question Q&A: Beavers, solar panels in the Sahara and nuclear waste Save 26 mins The Documentary Podcast How the Oscars went international Save 28 mins The Documentary Podcast Europe's night train renaissance: Still on track? Save 27 mins MORE NEWS Michigan synagogue attacker's brother was Hezbollah commander, IDF says US officials previously said the man accused of ramming a truck full of explosives into a synagogue had recently lost family in Lebanon. 2 hrs ago US & Canada BBC urges court to dismiss Trump Panorama lawsuit The US president is suing for defamation over the way Panorama spliced together parts of a speech he made. 43 mins ago Whistleblower murder suspect is former elite officer, South African police say Marius van der Merwe was shot dead three weeks after accusing police officers of killing a robbery suspect. 5 hrs ago Africa Another compelling Players - but why is it unlikely to ever be a major? Golf already has four majors and does not need a fifth one, especially given three are already played in the United States, writes Iain Carter. 7 hrs ago Golf How US groups are driving a new generation of anti-abortion activism in the UK The killing of Charlie Kirk galvanised a transatlantic campaign against abortion. But will it succeed in shifting Britain's pro-choice consensus? 17 hrs ago BBC InDepth Ecuador deploys 75,000 soldiers and police to combat drug gangs Citizens of the most violent-wracked provinces have been warned the government is ""at war"" with the gangs. 6 hrs ago World Far-left and far-right gains throw French mainstream parties into a quandary Awkward choices emerge for mainstream parties after the first round of mayoral elections. 7 hrs ago Europe MUST WATCH Timothée Chalamet, Michael B Jordan turn heads on Oscars red carpet Hollywood’s biggest stars turned heads on the red carpet at the 98th Academy Awards US & Canada 'A new norm': BBC visits Doha market starting to fill up again two weeks into Iran war The BBC's International News correspondent, Barbara Plett Usher, visits Doha's Souq Waqif market as strikes in the region continue. World Pust: An ancient festival to chase away winter Ready for spring? Here's how locals saved an almost forgotten ritual in Slovenia. Culture & Experiences Gazans urged to shelter as sandstorm turns skies orange Displaced Palestinians were told to secure their tents to prevent them being blown away as a storm swept through the enclave. Middle East Why Kharg Island is a lifeline for Iran BBC Security Brief's Mikey Kay breaks down why Kharg Island is so strategically important for Tehran. World Temple Israel rabbi: 'We were horrified, but not surprised' Temple Israel Rabbi Jennifer Lader speaks to the BBC's Helena Humphrey about the synagogue attack the FBI says was a ""targeted act of violence against the Jewish community"". US & Canada Lowrider cars bounce onto US stamps Five models of the custom vehicles that hop up and down using hydraulics will feature on US Postal stamps. US & Canada Churchill's granddaughter happy with his picture being replaced on £5 banknote Emma Soames rejected Nigel Farage's statement that the currency change was ""wokery"". Business IN HISTORY The shocking kidnap of a teenage newspaper heiress Patty Hearst was abducted by a revolutionary group in 1974, as reported by the BBC. But 50 years ago, on 20 March 1976, she was found guilty of siding with her captors. See more HEALTH AND WELLNESS A simple trick to change other people's minds People will be far more open-minded than you realise if you adopt these simple conversational techniques. How to heal your attention span With technology offering instant gratification and quick thrills, experts explain how adding friction to our day-to-day can help heal our attention span and deepen our sense of self. Study explores wellbeing impact of board games Researchers find games such as Dungeons and Dragons and Dixit can lead to a boost in confidence. TRAVEL What the short‑trip boom reveals about modern travel Short getaways lasting two to four days reveal how people are rethinking rest. How rural Britain is reinventing wellness A beauty mogul's guide to luxury self-care in Dubai The unstoppable rise of digital detox retreats BBC MAESTRO Master cocktail making with Ago Perrone Shake up the party with cocktail-making techniques from one of the world's best mixologists, Ago Perrone. Meet Ago Perrone and learn what to expect from the course Meet your Maestro as he outlines the course and find out why he's excited to share this journey with you. Why every bartender has a favourite Martini Learn how to make the classic Martini, shaken or stirred, and find out about the the drink's origins. Introducing the most classic of Italian cocktails Explore the world of Negronis, from the classic to Ago Perrone's signature version. Meet the 'original' cocktail, made popular in the US Learn how to make the famous Old Fashioned and get a lesson on its likely ancient history. How to make the perfect combo of spirit, citrus, and sour Ago introduces the sour cocktail family and explains how to master its popular taste with a refreshing example. Why the Margarita is today's most-requested cocktail Learn to balance the flavours of tequila, lime, liqueur, and of course salt for this perennial party favourite. US & CANADA NEWS Creed to Sinners: Michael B Jordan's road to Oscars recognition The 39-year-old has spent more than two decades acting and picked up the award for best actor at the Oscars. My letter to my dead daughter - after forgiving the man who killed her Treasure hunter freed from jail after refusing to turn over shipwreck gold Kennedy Center head steps down after tumultuous year MORE WORLD NEWS In maps: The strikes across the Middle East The US-Israeli war with Iran has seen sustained attacks on Tehran and Beirut as retaliatory strikes are felt in Israel and Gulf states Russia agrees to stop using Kenyan recruits in Ukraine conflict, Kenya says Kpop Demon Hunters wins Oscars for best animated film and best original song Ten killed in fire at India hospital intensive care unit BUSINESS US airline CEOs urge Congress to end shutdown and pay airport workers Travellers faced long queues at some airports at the weekend, after transport security workers missed their first full paycheck on Friday. Ukraine's urgent fight on the financial frontline India hopeful Iran talks will ease Hormuz route for its ships Starmer announces £53m support to help with UK heating oil costs SPORT How Chelsea signed a star team with hidden payments Chelsea have been hit with a Premier League record fine of £10.75m and handed a suspended transfer ban. Here's what the written reasons said. 'I don't miss it' - Livingstone criticises England Who did BBC pundits pick in their Six Nations teams of tournament? Man Utd not planning U-turn on Casemiro decision LATEST SPORT AUDIO More than the Score Elana Meyers Taylor’s 20-year journey to Olympic gold Save 22 mins The Wayne Rooney Show Rooney Reacts: Dowman's Breakout & The Anthony Gordon Debate Save 31 mins Rugby Union Weekly The Six Nations review with Barclay and Warburton Save 58 mins Football Daily PL Review: Spurs turn a corner as Arsenal pull clear Save 41 mins 606 ""Worst it's Ever Been at Liverpool"" Save 1 hr 17 mins F1: Chequered Flag Chinese GP Review: Antonelli Stars & Ferrari’s Gripping Battle Save 42 mins Rugby Union Weekly Six Nations: France claim the title in the last second Save 51 mins BBC Women's Football Weekly Mother’s Day Special with Ellen White and Celin Bizet Dønnum Save 30 mins TECHNOLOGY Boy is first to trial 'life-changing' exoskeleton Asger, seven, was able to walk all the way to school using the powered technology, his parents said. FCC chair threatens to revoke broadcasters' licences over Iran coverage The women bringing chess into the 21st Century - with 'bullet' matches and viral videos She spent 16 hours on Instagram in a day. It's up to a jury to decide if Meta is to blame SCIENCE Artemis II: Nasa targets early April for Moon mission Nasa says technical problems that have delayed the rocket are fixed and it is ready for launch. Can Ukraine's war-torn wheatfields be cleansed? Spectacular images reveal unique sea creatures and corals off Caribbean islands What stone-age language sounds like CULTURE BBC comedy spotlights a romantic dilemma some disabled people face Co-creator and star of We Might Regret This, Kyla Harris on delving into issues rarely seen on screen. Harry and Meghan accuse royal author of 'deranged conspiracy' 'Hate-watch classic' War of the Worlds sweeps Razzie Awards Hollywood owners recall David Beckham FaceTime in Wrexham commentary debut ARTS The tragedy hidden in a 19th-Century painting How the devastating meaning of The Meeting on the Turret Stairs is unlocked by a medieval Danish ballad – and why the painting can only be viewed for two hours every week. Magenta: The colour that doesn't exist 10 early photographic 'fakes' that trick the eye The dark side of the US's most divisive painter WATCH Pust: An ancient festival to chase away winter Ready for spring? Here's how locals saved an almost forgotten ritual in Slovenia. See more TRAVEL The 82-mile trail behind the world's biggest Irish celebration Following quiet lanes, mountains and coastal paths, St Patrick's Way offers a slow journey into Ireland's most famous legend. 10 things all visitors to Japan should know The rare 'dinosaur egg' returning from extinction How Padma Lakshmi survives life on the road WORLD'S TABLE Congee to consommé: Why every culture has a healing broth Across cultures, broths have soothed illness, marked celebration and stretched scarce ingredients, long before they became a wellness trend. How 'Yakult Ladies' became a lifeline in ageing Japan The nostalgic winter drink dividing Germany Inside Atlanta's soul food revolution EARTH Secret of hedgehog hearing discovered at far beyond human range Researchers played a soundtrack to hedgehogs to identify the frequency of sounds they can hear. Tiny possum and glider thought extinct for 6,000 years found in remote West Papua The whale graveyards that transform the deep sea Why encroaching seawater is becoming a global problem VIDEO Markets show mixed signals as Iran war enters third week Some investors are betting on a short-term war, while others expect a longer-term conflict in the region. The birthplace of the 20th century's brightest ideas The 48,000-year-old weapon that powered early human survival The Finnish shipyard making the world's toughest icebreakers DISCOVER MORE FROM THE BBC Future Earth Essential climate news and hopeful developments across the globe. Every Tuesday from climate correspondent Carl Nasman, direct to your inbox. Download the BBC app Click here to download the BBC app for Apple and Android devices. In History Discover the headlines from this week in history. See the past come to life through the BBC's unique archive, in your inbox every Thursday. Register for a BBC account Don't have time to read everything right now? Your BBC account lets you save articles and videos for later. Sign up for the Essential List The week's best stories, handpicked by BBC editors, in your inbox every Tuesday and Friday.",16px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 0, ""y"": 425, ""width"": 1280, ""height"": 12125.8125}"
BBC,text,p,"It comes after Donald Trump said it would be ""very bad for the future of Nato"" if allies don't help secure the Strait of Hormuz, a key oil shipping route.",14px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 332, ""y"": 891.5, ""width"": 616, ""height"": 36}"
BBC,button,button,Previous Page,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 1192, ""y"": 2552.703125, ""width"": 24, ""height"": 24}"
BBC,button,button,Next Page,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 1228, ""y"": 2552.703125, ""width"": 24, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 16, ""y"": 2884.703125, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 212, ""y"": 2884.703125, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 408, ""y"": 2884.703125, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 604, ""y"": 2884.703125, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 800, ""y"": 2884.703125, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 996, ""y"": 2884.703125, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 1192, ""y"": 2884.703125, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 1388, ""y"": 2884.703125, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 1584, ""y"": 2884.703125, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 1780, ""y"": 2884.703125, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Previous Page,13.3333px,"rgb(255, 255, 255)","rgb(20, 22, 24)","{""x"": 1192, ""y"": 4229.953125, ""width"": 24, ""height"": 24}"
BBC,button,button,Next Page,13.3333px,"rgb(255, 255, 255)","rgb(20, 22, 24)","{""x"": 1228, ""y"": 4229.953125, ""width"": 24, ""height"": 24}"
BBC,button,button,Previous Page,13.3333px,"rgb(255, 255, 255)","rgb(20, 22, 24)","{""x"": 1192, ""y"": 7016.5625, ""width"": 24, ""height"": 24}"
BBC,button,button,Next Page,13.3333px,"rgb(255, 255, 255)","rgb(20, 22, 24)","{""x"": 1228, ""y"": 7016.5625, ""width"": 24, ""height"": 24}"
BBC,button,button,Previous Page,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 1192, ""y"": 8568.9375, ""width"": 24, ""height"": 24}"
BBC,button,button,Next Page,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 1228, ""y"": 8568.9375, ""width"": 24, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 16, ""y"": 8900.9375, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 212, ""y"": 8900.9375, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 408, ""y"": 8900.9375, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 604, ""y"": 8900.9375, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 800, ""y"": 8900.9375, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 996, ""y"": 8900.9375, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 1192, ""y"": 8900.9375, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Save,12px,"rgb(32, 34, 36)","rgb(255, 255, 255)","{""x"": 1388, ""y"": 8900.9375, ""width"": 56.59375, ""height"": 24}"
BBC,button,button,Previous Page,13.3333px,"rgb(255, 255, 255)","rgb(20, 22, 24)","{""x"": 1192, ""y"": 11737.9375, ""width"": 24, ""height"": 24}"
BBC,button,button,Next Page,13.3333px,"rgb(255, 255, 255)","rgb(20, 22, 24)","{""x"": 1228, ""y"": 11737.9375, ""width"": 24, ""height"": 24}"
BBC,footer,footer,Home News Sport Business Technology Health Culture Arts Travel Earth Audio Video Live Weather BBC Shop BritBox BBC in other languages Follow BBC on: Terms of Use Subscription Terms About the BBC Privacy Policy Cookies Accessibility Help Contact the BBC Advertise with us Do not share or sell my info BBC.com Help & FAQs Content Index Set Preferred Source Copyright 2026 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,16px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 0, ""y"": 12687.8125, ""width"": 1280, ""height"": 309}"
BBC,link,a,British Broadcasting Corporation,16px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 16, ""y"": 12687.8125, ""width"": 105, ""height"": 30}"
BBC,navigation,nav,Home News Sport Business Technology Health Culture Arts Travel Earth Audio Video Live Weather BBC Shop BritBox,16px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 16, ""y"": 12746.8125, ""width"": 1248, ""height"": 18}"
BBC,link,a,Home,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 16, ""y"": 12747.8125, ""width"": 39.3125, ""height"": 16}"
BBC,link,a,News,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 71.3125, ""y"": 12747.8125, ""width"": 35.875, ""height"": 16}"
BBC,link,a,Sport,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 123.1875, ""y"": 12747.8125, ""width"": 36.828125, ""height"": 16}"
BBC,link,a,Business,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 176.015625, ""y"": 12747.8125, ""width"": 57.3125, ""height"": 16}"
BBC,link,a,Technology,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 249.328125, ""y"": 12747.8125, ""width"": 75.875, ""height"": 16}"
BBC,link,a,Health,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 341.203125, ""y"": 12747.8125, ""width"": 44.296875, ""height"": 16}"
BBC,link,a,Culture,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 401.5, ""y"": 12747.8125, ""width"": 48.9375, ""height"": 16}"
BBC,link,a,Arts,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 466.4375, ""y"": 12747.8125, ""width"": 28.40625, ""height"": 16}"
BBC,link,a,Travel,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 510.84375, ""y"": 12747.8125, ""width"": 40.296875, ""height"": 16}"
BBC,link,a,Earth,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 567.140625, ""y"": 12747.8125, ""width"": 36.171875, ""height"": 16}"
BBC,link,a,Audio,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 619.3125, ""y"": 12747.8125, ""width"": 38.84375, ""height"": 16}"
BBC,link,a,Video,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 674.15625, ""y"": 12747.8125, ""width"": 38.21875, ""height"": 16}"
BBC,link,a,Live,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 728.375, ""y"": 12747.8125, ""width"": 26.875, ""height"": 16}"
BBC,link,a,Weather,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 771.25, ""y"": 12747.8125, ""width"": 55.84375, ""height"": 16}"
BBC,link,a,BBC Shop,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 843.09375, ""y"": 12747.8125, ""width"": 65.28125, ""height"": 16}"
BBC,link,a,BritBox,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 924.375, ""y"": 12747.8125, ""width"": 49.671875, ""height"": 16}"
BBC,button,button,BBC in other languages,14px,"rgb(32, 34, 36)","rgb(230, 232, 234)","{""x"": 16, ""y"": 12785.8125, ""width"": 206, ""height"": 44}"
BBC,button,button,Follow BBC on x,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 169.75, ""y"": 12862.8125, ""width"": 24, ""height"": 24}"
BBC,button,button,Follow BBC on facebook,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 209.75, ""y"": 12862.8125, ""width"": 24, ""height"": 24}"
BBC,button,button,Follow BBC on instagram,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 249.75, ""y"": 12862.8125, ""width"": 24, ""height"": 24}"
BBC,button,button,Follow BBC on tiktok,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 289.75, ""y"": 12862.8125, ""width"": 24, ""height"": 24}"
BBC,button,button,Follow BBC on linkedin,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 329.75, ""y"": 12862.8125, ""width"": 24, ""height"": 24}"
BBC,button,button,Follow BBC on youtube,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 369.75, ""y"": 12862.8125, ""width"": 24, ""height"": 24}"
BBC,navigation,nav,Terms of Use Subscription Terms About the BBC Privacy Policy Cookies Accessibility Help Contact the BBC Advertise with us Do not share or sell my info BBC.com Help & FAQs Content Index Set Preferred Source,16px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 16, ""y"": 12902.8125, ""width"": 1248, ""height"": 46}"
BBC,link,a,Terms of Use,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 16, ""y"": 12904.8125, ""width"": 72.421875, ""height"": 14}"
BBC,link,a,Subscription Terms,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 104.421875, ""y"": 12904.8125, ""width"": 106.734375, ""height"": 14}"
BBC,link,a,About the BBC,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 227.15625, ""y"": 12904.8125, ""width"": 83.09375, ""height"": 14}"
BBC,link,a,Privacy Policy,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 326.25, ""y"": 12904.8125, ""width"": 76.453125, ""height"": 14}"
BBC,link,a,Cookies,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 418.703125, ""y"": 12904.8125, ""width"": 43.96875, ""height"": 14}"
BBC,link,a,Accessibility Help,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 478.671875, ""y"": 12904.8125, ""width"": 98.484375, ""height"": 14}"
BBC,link,a,Contact the BBC,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 593.15625, ""y"": 12904.8125, ""width"": 92.671875, ""height"": 14}"
BBC,link,a,Advertise with us,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 701.828125, ""y"": 12904.8125, ""width"": 95.640625, ""height"": 14}"
BBC,link,a,Do not share or sell my info,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 813.46875, ""y"": 12904.8125, ""width"": 152.21875, ""height"": 14}"
BBC,link,a,BBC.com Help & FAQs,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 981.6875, ""y"": 12904.8125, ""width"": 124.46875, ""height"": 14}"
BBC,link,a,Content Index,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 1122.15625, ""y"": 12904.8125, ""width"": 78.453125, ""height"": 14}"
BBC,link,a,Set Preferred Source,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 16, ""y"": 12933.8125, ""width"": 115.28125, ""height"": 14}"
BBC,link,a,Read about our approach to external linking.,12px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 575.25, ""y"": 12965.8125, ""width"": 253.0625, ""height"": 14}"
BBC,button,button,"Yes, I agree",15.6px,"rgb(246, 162, 29)","rgb(50, 50, 50)","{""x"": 932.78125, ""y"": 661.203125, ""width"": 195.1875, ""height"": 15.59375}"
BBC,button,a,"No, take me to settings",15.6px,"rgb(246, 162, 29)","rgb(50, 50, 50)","{""x"": 932.78125, ""y"": 685.796875, ""width"": 194.78125, ""height"": 17}"
CNN,navigation,nav,US World Politics Business Health Entertainment Style Travel More Watch Listen Sign in,16px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 0, ""y"": 276, ""width"": 1280, ""height"": 40}"
CNN,button,button,Open Menu Icon,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 32, ""y"": 280, ""width"": 24, ""height"": 32}"
CNN,link,a,CNN logo,16px,"rgb(0, 0, 238)","rgb(255, 255, 255)","{""x"": 80, ""y"": 276, ""width"": 46, ""height"": 40}"
